mechanism,geometry,schedule,severity,mover_frac,noise,epoch_start__mean,epoch_start__std,epoch_end__mean,epoch_end__std,n_checkpoints__mean,n_checkpoints__std,effective_rank_start__mean,effective_rank_start__std,effective_rank_end__mean,effective_rank_end__std,effective_rank_delta__mean,effective_rank_delta__std,effective_rank_min__mean,effective_rank_min__std,effective_rank_max__mean,effective_rank_max__std,effective_rank_argmin_epoch__mean,effective_rank_argmin_epoch__std,effective_rank_argmax_epoch__mean,effective_rank_argmax_epoch__std,top_k_variance_fraction_start__mean,top_k_variance_fraction_start__std,top_k_variance_fraction_end__mean,top_k_variance_fraction_end__std,top_k_variance_fraction_delta__mean,top_k_variance_fraction_delta__std,top_k_variance_fraction_min__mean,top_k_variance_fraction_min__std,top_k_variance_fraction_max__mean,top_k_variance_fraction_max__std,top_k_variance_fraction_argmin_epoch__mean,top_k_variance_fraction_argmin_epoch__std,top_k_variance_fraction_argmax_epoch__mean,top_k_variance_fraction_argmax_epoch__std,projection_residual_start__mean,projection_residual_start__std,projection_residual_end__mean,projection_residual_end__std,projection_residual_delta__mean,projection_residual_delta__std,projection_residual_min__mean,projection_residual_min__std,projection_residual_max__mean,projection_residual_max__std,projection_residual_argmin_epoch__mean,projection_residual_argmin_epoch__std,projection_residual_argmax_epoch__mean,projection_residual_argmax_epoch__std,total_persistence_h1_start__mean,total_persistence_h1_start__std,total_persistence_h1_end__mean,total_persistence_h1_end__std,total_persistence_h1_delta__mean,total_persistence_h1_delta__std,total_persistence_h1_min__mean,total_persistence_h1_min__std,total_persistence_h1_max__mean,total_persistence_h1_max__std,total_persistence_h1_argmin_epoch__mean,total_persistence_h1_argmin_epoch__std,total_persistence_h1_argmax_epoch__mean,total_persistence_h1_argmax_epoch__std,collapse_effective_rank_end__mean,collapse_effective_rank_end__std,collapse_effective_rank_max__mean,collapse_effective_rank_max__std,collapse_effective_rank_argmax_epoch__mean,collapse_effective_rank_argmax_epoch__std,collapse_effective_rank_auc__mean,collapse_effective_rank_auc__std,collapse_total_persistence_h1_end__mean,collapse_total_persistence_h1_end__std,collapse_total_persistence_h1_max__mean,collapse_total_persistence_h1_max__std,collapse_total_persistence_h1_argmax_epoch__mean,collapse_total_persistence_h1_argmax_epoch__std,collapse_total_persistence_h1_auc__mean,collapse_total_persistence_h1_auc__std,collapse_top_k_variance_fraction_end__mean,collapse_top_k_variance_fraction_end__std,collapse_top_k_variance_fraction_max__mean,collapse_top_k_variance_fraction_max__std,collapse_top_k_variance_fraction_argmax_epoch__mean,collapse_top_k_variance_fraction_argmax_epoch__std,collapse_top_k_variance_fraction_auc__mean,collapse_top_k_variance_fraction_auc__std,collapse_projection_residual_end__mean,collapse_projection_residual_end__std,collapse_projection_residual_max__mean,collapse_projection_residual_max__std,collapse_projection_residual_argmax_epoch__mean,collapse_projection_residual_argmax_epoch__std,collapse_projection_residual_auc__mean,collapse_projection_residual_auc__std
linear_to_kplane,kcube,linear,moderate,0.5,0.0,0.0,,50.0,,26.0,,3.993891980867877,,3.993891980867877,,0.0,,3.993891980867877,,3.993891980867877,,0.0,,0.0,,1.0,,1.0,,0.0,,1.0,,1.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,42.42426453482845,,42.41167622256158,,-0.012588312266871071,,42.39256969392972,,42.42426453482845,,26.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.00029672434878713627,,0.0007470922889590836,,26.0,,0.01632102914783451,,,,,,,,,,,,,,,,,
linear_to_kplane,kcube,linear,moderate,1.0,0.0,0.0,,50.0,,26.0,,3.993891980867877,,3.993891980867877,,0.0,,3.993891980867877,,3.993891980867877,,0.0,,0.0,,1.0,,1.0,,0.0,,1.0,,1.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,42.40044555324418,,42.40044555324418,,0.0,,42.39256969392972,,42.419552081876034,,18.0,,16.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.00018574944700922025,,18.0,,-0.007583919727607302,,,,,,,,,,,,,,,,,
linear_to_kplane,kcube,linear,strong,0.25,0.0,0.0,,50.0,,26.0,,3.993891980867877,,3.993891980867877,,0.0,,3.993891980867877,,3.993891980867877,,0.0,,0.0,,1.0,,1.0,,0.0,,1.0,,1.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,42.4051580061966,,42.40044555324418,,-0.004712452952418289,,42.39256969392972,,42.42426453482845,,4.0,,6.0,,0.0,,0.0,,0.0,,0.0,,0.00011112923931866359,,0.00029685804413315253,,4.0,,-0.004094118788239176,,,,,,,,,,,,,,,,,
linear_to_kplane,kcube,linear,strong,0.5,0.0,0.0,,50.0,,26.0,,3.993891980867877,,3.993891980867877,,0.0,,3.993891980867877,,3.993891980867877,,0.0,,0.0,,1.0,,1.0,,0.0,,1.0,,1.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,42.4051580061966,,42.419552081876034,,0.014394075679433627,,42.39256969392972,,42.419552081876034,,8.0,,16.0,,0.0,,0.0,,0.0,,0.0,,-0.0003394416235245057,,0.00029685804413315253,,8.0,,-0.0016901283913786092,,,,,,,,,,,,,,,,,
linear_to_kplane,kcube,linear,strong,1.0,0.0,0.0,,50.0,,26.0,,3.993891980867877,,3.993891980867877,,0.0,,3.993891980867877,,3.993891980867877,,0.0,,0.0,,1.0,,1.0,,0.0,,1.0,,1.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,42.4057563485224,,42.39256969392972,,-0.013186654592679758,,42.39256969392972,,42.42426453482845,,4.0,,22.0,,0.0,,0.0,,0.0,,0.0,,0.00031096378718731277,,0.00031096378718731277,,4.0,,-0.0024408062662312213,,,,,,,,,,,,,,,,,
linear_to_kplane,kcube,linear,weak,0.25,0.0,0.0,,50.0,,26.0,,3.993891980867877,,3.993891980867877,,0.0,,3.993891980867877,,3.993891980867877,,0.0,,0.0,,1.0,,1.0,,0.0,,1.0,,1.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,42.4051580061966,,42.40320202092132,,-0.001955985275280625,,42.39256969392972,,42.42426453482845,,20.0,,8.0,,0.0,,0.0,,0.0,,0.0,,4.6126116898248526e-05,,0.00029685804413315253,,20.0,,-0.003421354814760802,,,,,,,,,,,,,,,,,
linear_to_kplane,kcube,linear,weak,0.5,0.0,0.0,,50.0,,26.0,,3.993891980867877,,3.993891980867877,,0.0,,3.993891980867877,,3.993891980867877,,0.0,,0.0,,1.0,,1.0,,0.0,,1.0,,1.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,42.40044555324418,,42.42426453482845,,0.023818981584270205,,42.39256969392972,,42.42426453482845,,2.0,,50.0,,0.0,,0.0,,0.0,,0.0,,-0.0005617625304046303,,0.00018574944700922025,,2.0,,-0.0069015459111392286,,,,,,,,,,,,,,,,,
linear_to_kplane,kcube,linear,weak,1.0,0.0,0.0,,50.0,,26.0,,3.993891980867877,,3.993891980867877,,0.0,,3.993891980867877,,3.993891980867877,,0.0,,0.0,,1.0,,1.0,,0.0,,1.0,,1.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,42.40891975488444,,42.40044555324418,,-0.008474201640254364,,42.39728214688214,,42.419552081876034,,8.0,,42.0,,0.0,,0.0,,0.0,,0.0,,0.00019982120952932725,,0.00027441415790729895,,8.0,,0.0011325623997879841,,,,,,,,,,,,,,,,,
linear_to_kplane,kcube,sigmoid,moderate,0.25,0.0,0.0,,50.0,,26.0,,3.993891980867877,,3.993891980867877,,0.0,,3.993891980867877,,3.993891980867877,,0.0,,0.0,,1.0,,1.0,,0.0,,1.0,,1.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,42.41363220783686,,42.40891975488444,,-0.004712452952425394,,42.40044555324418,,42.42426453482845,,8.0,,28.0,,0.0,,0.0,,0.0,,0.0,,0.0001111070358070787,,0.00031090604379413467,,8.0,,0.004730074026469966,,,,,,,,,,,,,,,,,
linear_to_kplane,kcube,sigmoid,moderate,0.5,0.0,0.0,,50.0,,26.0,,3.993891980867877,,3.993891980867877,,0.0,,3.993891980867877,,3.993891980867877,,0.0,,0.0,,1.0,,1.0,,0.0,,1.0,,1.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,42.41363220783686,,42.4051580061966,,-0.00847420164026147,,42.39256969392972,,42.416388675514,,38.0,,2.0,,0.0,,0.0,,0.0,,0.0,,0.000199799007987278,,0.0004965977401777399,,38.0,,0.007849216845247198,,,,,,,,,,,,,,,,,
