ph_mode,ph_metric,other_metric,n,pearson,spearman
landmark_vr,total_persistence_h1,q10_pairwise_distance,1664,0.5760401502986718,0.4249699035060188
landmark_vr,total_persistence_h1,q50_pairwise_distance,1664,-0.13227740854345715,0.2110776720586033
landmark_vr,total_persistence_h1,q90_pairwise_distance,1664,-0.13809841379173027,0.20619832229847904
landmark_vr,total_persistence_h1,projection_residual,208,-0.20972833165117774,-0.17127717058664665
landmark_vr,max_persistence_h1,effective_rank,1664,0.4534534450024213,0.43829647004861416
landmark_vr,max_persistence_h1,top_k_variance_fraction,1664,-0.4279279521200524,-0.23091912625666774
landmark_vr,max_persistence_h1,mean_pairwise_distance,1664,-0.1785570167540131,-0.04135554490755952
landmark_vr,max_persistence_h1,median_pairwise_distance,1664,-0.21038053379700658,-0.0619276113988629
landmark_vr,max_persistence_h1,std_pairwise_distance,1664,-0.27779932478371294,-0.0919644163844104
landmark_vr,max_persistence_h1,q10_pairwise_distance,1664,0.4848352810345276,0.3786341982057033
landmark_vr,max_persistence_h1,q50_pairwise_distance,1664,-0.21038053379700658,-0.0619276113988629
landmark_vr,max_persistence_h1,q90_pairwise_distance,1664,-0.2038468761485436,-0.04783780629029129
landmark_vr,max_persistence_h1,projection_residual,208,-0.34548304178774314,-0.4907893361313251
landmark_vr,top5_persistence_h1,effective_rank,1664,0.4718642578548955,0.5393527672411069
landmark_vr,top5_persistence_h1,top_k_variance_fraction,1664,-0.44633533492093513,-0.3447922755452804
landmark_vr,top5_persistence_h1,mean_pairwise_distance,1664,-0.10782751101156073,0.12000351877208802
landmark_vr,top5_persistence_h1,median_pairwise_distance,1664,-0.14141943652511857,0.09905124032593823
landmark_vr,top5_persistence_h1,std_pairwise_distance,1664,-0.21513989210324513,0.05029804702275804
landmark_vr,top5_persistence_h1,q10_pairwise_distance,1664,0.5420771578927875,0.47737858789976584
landmark_vr,top5_persistence_h1,q50_pairwise_distance,1664,-0.14141943652511857,0.09905124032593823
landmark_vr,top5_persistence_h1,q90_pairwise_distance,1664,-0.13526563762148094,0.11283416783962585
landmark_vr,top5_persistence_h1,projection_residual,208,-0.3416237088247442,-0.4956172205487491
landmark_vr,betti_curve_area_h1,effective_rank,1664,0.7912145238957073,0.7865989807935476
