ph_mode,mode_tier,median_spearman_vs_full_vr,median_pearson_vs_full_vr,median_normalized_mae_vs_full_vr,median_delta_spearman_vs_full_vr,median_delta_sign_agreement_vs_full_vr,median_transition_epoch_abs_error,speedup_vs_full_vr,total_ph_time_sec,ph_recomputed_rate,scaling_score
skip_vr,4,0.9999501183097363,0.9999988236505881,8.574092834804827e-05,0.9975735369640466,0.9992570579494799,0.0,0.949769332160119,77937.45483653567,0.0,0.8042036122672331
online_landmark_dynamic_support,7,0.8033996846842878,0.8362677537750556,0.1347658812724042,0.6500712180376267,0.7021760569419433,5.0,64.35681794887056,1150.1905592840922,0.7716346153846154,0.7772925384516952
event_driven,5,0.9991640328781106,0.9997194447084481,0.0017089044096180056,0.8834255357126979,0.8126160990712075,0.0,1.276300836943792,57997.771597180166,0.7740384615384616,0.7599148047574534
landmark_vr,1,0.7515428652571632,0.8150610646155971,0.1409628672489363,0.713024063337715,0.8127799459868918,4.0,11.31595756470247,6541.435314431757,0.0,0.7507671874177386
fixed_knn_vr,3,0.257921759492761,0.3487758926862419,24.073293684635416,-0.6449447105703748,0.22406029331884847,4.5,171.2713174143968,432.19498482198105,0.0,0.03483998154890183
fixed_support_vr,2,0.22561897814618925,0.3272828009356687,34.467065123102024,-0.62412750854165,0.22605042202045184,5.0,84.0449275815889,880.7504100529623,0.0,0.029029629855123695
online_landmark_event,6,0.12416367904399656,0.2606419976623786,9.988749122136516,-0.657830850654169,0.09769689677205448,5.0,239.02597191304383,309.6843570508936,0.7103365384615384,-0.032874051970451124
