ph_mode,metric,n_joined,pearson_vs_full_vr,spearman_vs_full_vr,mae_vs_full_vr,rmse_vs_full_vr,normalized_mae_vs_full_vr,sign_agreement_vs_full_vr
landmark_vr,total_persistence_h1,1664,0.7178807598092904,0.6019178519051702,64.59516007158348,101.72849632575598,0.18137488100761778,
landmark_vr,max_persistence_h1,1664,0.8316953392377526,0.6913769238621016,0.07963656764328358,0.14927097572994272,0.0899196981770036,
landmark_vr,top5_persistence_h1,1664,0.8156730691248684,0.6802638704226079,0.36128374178280453,0.70837324357665,0.09249782168327068,
landmark_vr,betti_curve_area_h1,1664,0.7963819403232943,0.8117088066522249,57.288744801336335,88.80088549828483,0.16031460039191234,
landmark_vr,betti_curve_peak_h1,1664,0.814449060106326,0.839047631040891,73.453125,124.45017538696422,0.12161113410596026,
landmark_vr,betti_curve_change_h1,1664,0.8891349911630567,0.9659040802359988,157.9400702666868,246.9785167547322,0.1996325485156465,
landmark_vr,delta_total_persistence_h1,1664,-0.0156590441277637,0.7101419240823242,7.112288422540234,34.115095851315765,0.39717712104553754,0.8051575931232091
landmark_vr,delta_max_persistence_h1,1664,0.47659111951804867,0.6528070821419888,0.017772564322235607,0.0635419316061716,0.4110819717836271,0.7876506024096386
landmark_vr,delta_top5_persistence_h1,1664,0.14968576179535767,0.7317111003318921,0.07323654829403506,0.2948940875742171,0.41617806322357004,0.8204022988505747
landmark_vr,delta_betti_curve_area_h1,1664,0.06503541998036502,0.7159062025931058,6.585813161548637,28.72500004552827,0.3898196876030548,0.8429602888086642
landmark_vr,delta_betti_curve_peak_h1,1664,0.20713452689180797,0.16420819797769487,13.565,53.951494418597896,0.5024074074074074,0.4356060606060606
landmark_vr,delta_betti_curve_change_h1,1664,0.8705134086281654,0.7935396243228777,7.930682139027069,25.730327223306503,0.08921996997601676,0.855595667870036
fixed_support_vr,total_persistence_h1,1664,0.31524267988518595,0.22546008541024357,33268.13254280258,48208.46814408065,93.41262680686408,
fixed_support_vr,max_persistence_h1,1664,0.33932292198615144,0.08266193943253242,1.6771781896949345,2.42852792613817,1.8937450604595585,
fixed_support_vr,top5_persistence_h1,1664,0.36529136881799357,0.16630430350740022,8.35138171451116,12.016718229516147,2.1381660099783306,
fixed_support_vr,betti_curve_area_h1,1664,0.31032355530875405,0.22577787088213494,33353.067088208765,48357.71470845714,93.33392869110489,
fixed_support_vr,betti_curve_peak_h1,1664,0.24683765344587652,0.38561733594371117,16406.66346153846,18809.02437638876,27.16335010188487,
fixed_support_vr,betti_curve_change_h1,1664,0.7650351737072615,0.8599982946320207,33047.115814238205,47952.83382850309,41.770780144319176,
fixed_support_vr,delta_total_persistence_h1,1664,-0.8177183941455006,-0.7932333030281321,2217.116899913309,3756.5245590724257,123.81220431643622,0.2117310443490701
fixed_support_vr,delta_max_persistence_h1,1664,-0.11964325719631058,-0.595062901023256,0.11470850291381758,0.20468524129517665,2.653224188878811,0.24036979969183359
fixed_support_vr,delta_top5_persistence_h1,1664,-0.33378566748058747,-0.653192116060044,0.5476786621167615,0.9899077861492436,3.112269081190359,0.2543859649122807
fixed_support_vr,delta_betti_curve_area_h1,1664,-0.8659713420362424,-0.8511578967898228,2222.5167163431074,3768.2502661263197,131.55258899778903,0.09694793536804308
