run_id,run_dir,experiment,geometry,mechanism,model,n,d,schedule,severity,mover_frac,noise,seed,regime,metric_family,best_metric,detection_epoch,normalized_detection_time,detected,max_epoch
clustered_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed31,/home/alex/evolve_local/evolve_collapse/evolve_checkpoints/collapse_ph/cluster_tightening/clustered_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed31,collapse_ph,clustered_gaussian,cluster_tightening,clustered_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed31,1000,50,linear,moderate,1.0,0.0,31,Cluster tightening,Topological,betti_curve_change_h1,2.0,0.04,True,50.0
clustered_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed37,/home/alex/evolve_local/evolve_collapse/evolve_checkpoints/collapse_ph/cluster_tightening/clustered_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed37,collapse_ph,clustered_gaussian,cluster_tightening,clustered_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed37,1000,50,linear,moderate,1.0,0.0,37,Cluster tightening,Spectral,effective_rank,20.0,0.4,True,50.0
clustered_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed37,/home/alex/evolve_local/evolve_collapse/evolve_checkpoints/collapse_ph/cluster_tightening/clustered_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed37,collapse_ph,clustered_gaussian,cluster_tightening,clustered_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed37,1000,50,linear,moderate,1.0,0.0,37,Cluster tightening,Geometric,q10_pairwise_distance,10.0,0.2,True,50.0
clustered_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed37,/home/alex/evolve_local/evolve_collapse/evolve_checkpoints/collapse_ph/cluster_tightening/clustered_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed37,collapse_ph,clustered_gaussian,cluster_tightening,clustered_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed37,1000,50,linear,moderate,1.0,0.0,37,Cluster tightening,Topological,betti_curve_change_h1,2.0,0.04,True,50.0
clustered_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed51,/home/alex/evolve_local/evolve_collapse/evolve_checkpoints/collapse_ph/cluster_tightening/clustered_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed51,collapse_ph,clustered_gaussian,cluster_tightening,clustered_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed51,1000,50,linear,moderate,1.0,0.0,51,Cluster tightening,Spectral,effective_rank,26.0,0.52,True,50.0
clustered_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed51,/home/alex/evolve_local/evolve_collapse/evolve_checkpoints/collapse_ph/cluster_tightening/clustered_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed51,collapse_ph,clustered_gaussian,cluster_tightening,clustered_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed51,1000,50,linear,moderate,1.0,0.0,51,Cluster tightening,Geometric,q10_pairwise_distance,10.0,0.2,True,50.0
clustered_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed51,/home/alex/evolve_local/evolve_collapse/evolve_checkpoints/collapse_ph/cluster_tightening/clustered_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed51,collapse_ph,clustered_gaussian,cluster_tightening,clustered_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed51,1000,50,linear,moderate,1.0,0.0,51,Cluster tightening,Topological,betti_curve_change_h1,2.0,0.04,True,50.0
clustered_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed123,/home/alex/evolve_local/evolve_collapse/evolve_checkpoints/collapse_ph/cluster_tightening/clustered_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed123,collapse_ph,clustered_gaussian,cluster_tightening,clustered_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed123,1000,50,linear,moderate,1.0,0.0,123,Cluster tightening,Spectral,effective_rank,20.0,0.4,True,50.0
clustered_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed123,/home/alex/evolve_local/evolve_collapse/evolve_checkpoints/collapse_ph/cluster_tightening/clustered_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed123,collapse_ph,clustered_gaussian,cluster_tightening,clustered_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed123,1000,50,linear,moderate,1.0,0.0,123,Cluster tightening,Geometric,q10_pairwise_distance,10.0,0.2,True,50.0
clustered_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed123,/home/alex/evolve_local/evolve_collapse/evolve_checkpoints/collapse_ph/cluster_tightening/clustered_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed123,collapse_ph,clustered_gaussian,cluster_tightening,clustered_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed123,1000,50,linear,moderate,1.0,0.0,123,Cluster tightening,Topological,betti_curve_change_h1,2.0,0.04,True,50.0
clustered_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed821,/home/alex/evolve_local/evolve_collapse/evolve_checkpoints/collapse_ph/cluster_tightening/clustered_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed821,collapse_ph,clustered_gaussian,cluster_tightening,clustered_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed821,1000,50,linear,moderate,1.0,0.0,821,Cluster tightening,Spectral,effective_rank,22.0,0.44,True,50.0
clustered_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed821,/home/alex/evolve_local/evolve_collapse/evolve_checkpoints/collapse_ph/cluster_tightening/clustered_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed821,collapse_ph,clustered_gaussian,cluster_tightening,clustered_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed821,1000,50,linear,moderate,1.0,0.0,821,Cluster tightening,Geometric,q10_pairwise_distance,10.0,0.2,True,50.0
